Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,class_id
191.2,182.4,581.2,582.0,242.8,476.0,17.2,722.2,803.4,976.8,31.8,59.4,512.4,26.2,236.8,340.0,42.8,755.0,426.8,909.4,399.8,872.0,188.0,191.8,797.8,1
4.4,796.6,305.4,772.0,779.0,416.2,296.6,458.2,294.6,60.2,759.2,899.4,648.6,531.8,848.8,804.8,164.6,285.8,619.0,859.0,402.2,608.8,203.8,715.2,4.2,1
449.2,370.6,343.2,4.4,323.0,207.0,647.8,169.0,385.2,728.0,648.4,794.2,785.4,856.6,777.6,145.2,290.8,675.0,353.8,422.6,736.0,196.4,883.8,841.8,174.6,1
213.6,723.2,793.4,452.0,801.6,133.8,634.8,145.2,132.4,627.2,386.4,379.0,579.2,524.8,866.4,346.6,523.4,100.2,880.8,744.4,513.0,104.2,874.4,267.4,788.2,1
4.6,417.6,49.6,775.6,724.4,131.6,527.8,683.2,187.2,334.2,297.8,406.0,62.6,680.4,111.6,612.6,607.0,148.8,395.0,265.0,72.4,229.4,718.4,882.2,873.0,1
234.0,438.8,825.8,757.8,124.2,694.8,132.8,625.2,32.8,203.2,813.0,794.0,417.4,657.8,883.0,9.6,115.0,805.0,184.6,153.6,780.4,760.6,69.0,4.8,884.2,1
233.6,792.0,902.2,443.2,931.4,430.6,151.6,903.8,957.8,615.8,516.2,18.0,340.8,159.2,733.4,58.8,1014.4,139.2,740.6,365.4,916.4,200.0,54.0,751.0,4.8,1
4.8,75.0,830.8,886.2,694.6,144.4,4.8,323.4,343.2,852.4,95.0,766.8,535.6,868.8,804.6,232.8,729.4,212.6,817.0,836.8,962.4,768.6,41.8,599.4,196.0,1
538.2,328.4,48.0,795.0,894.0,734.0,543.0,129.2,161.2,645.0,134.2,156.6,15.6,478.8,333.4,436.4,144.2,19.2,367.8,3.6,115.0,519.0,179.2,543.0,240.6,1
697.8,387.4,212.0,64.6,54.0,705.2,140.0,448.0,516.2,531.6,697.2,933.2,680.6,164.0,340.2,90.8,331.4,732.2,787.8,4.8,496.8,530.4,218.0,597.2,697.6,1
699.8,877.0,866.6,717.2,859.4,937.8,4.6,945.6,809.0,582.6,940.0,63.4,757.8,864.0,801.0,918.8,237.8,709.8,683.0,426.4,611.0,685.6,411.8,876.4,132.6,2
982.0,545.8,406.0,58.0,83.0,249.8,645.6,634.0,722.6,303.0,978.8,198.2,190.4,735.2,12.6,817.8,523.0,885.2,83.8,76.6,958.0,432.8,810.0,53.6,4.6,2
652.8,770.2,746.6,177.6,184.6,662.6,326.0,124.8,815.4,607.2,368.6,136.0,680.2,854.8,879.6,878.4,461.6,140.4,403.2,136.0,395.4,821.8,907.6,540.6,201.0,2
